description,category,amount,date
Hospital Bill,Healthcare,4074.62,2026-06-19
Dominos Pizza,Food,3699.66,2026-03-18
McDonalds,Food,4866.95,2026-07-31
Gas Bill Payment,Bills,3185.23,2026-05-31
Netflix Subscription,Entertainment,1778.54,2026-07-02
Flipkart Shopping,Shopping,747.63,2026-03-22
Dominos Pizza,Food,1144.76,2026-02-07
Starbucks Coffee,Food,2264.76,2026-03-06
Dominos Pizza,Food,816.9,2026-05-11
Emergency Hospital Bill,Others,43400.88,2026-05-02
Zomato Delivery,Food,1365.69,2026-06-21
Myntra Order,Shopping,2162.97,2026-02-24
Pharmacy Medicine,Healthcare,120.05,2026-03-15
Local Restaurant,Food,3037.61,2026-02-12
Starbucks Coffee,Food,4208.17,2026-03-05
ATM Withdrawal,Others,2782.58,2026-06-02
PVR Cinemas,Entertainment,2728.25,2026-06-03
Water Bill Payment,Bills,4878.81,2026-03-14
Miscellaneous Payment,Others,2379.02,2026-06-10
Monthly Rent Payment,Rent,4897.49,2026-02-13
PVR Cinemas,Entertainment,1584.68,2026-08-01
Internet Bill Jio,Bills,340.06,2026-03-12
Hospital Bill,Healthcare,396.0,2026-02-27
Spotify Premium,Entertainment,341.69,2026-06-19
Amazon Prime Video,Entertainment,1371.5,2026-06-13
Zara Store,Shopping,4817.78,2026-07-13
Miscellaneous Payment,Others,242.89,2026-02-10
Rapido Bike,Transport,3817.79,2026-03-10
Nykaa Order,Shopping,1090.22,2026-02-27
Flat Rent Transfer,Rent,4971.92,2026-02-10
Movie Ticket BookMyShow,Entertainment,3847.67,2026-05-08
Gas Bill Payment,Bills,1815.75,2026-05-26
Petrol Pump,Transport,3031.68,2026-05-12
ATM Withdrawal,Others,4335.6,2026-03-13
Electricity Bill,Bills,200.65,2026-07-01
Grocery Store BigBasket,Food,4898.0,2026-05-07
Medical Checkup,Healthcare,2878.07,2026-03-11
Mobile Recharge Airtel,Bills,3188.8,2026-07-05
ATM Withdrawal,Others,4682.59,2026-04-27
Netflix Subscription,Entertainment,2417.18,2026-07-21
Metro Card Recharge,Transport,3557.52,2026-08-03
Movie Ticket BookMyShow,Entertainment,1841.29,2026-06-20
Gift Purchase,Others,3200.58,2026-03-14
Pharmacy Medicine,Healthcare,4001.92,2026-03-17
ATM Withdrawal,Others,1464.04,2026-07-11
Zara Store,Shopping,3950.38,2026-03-13
Local Restaurant,Food,4886.76,2026-02-15
Grocery Store BigBasket,Food,1219.3,2026-03-17
Apollo Pharmacy,Healthcare,1103.05,2026-04-01
Local Restaurant,Food,204.83,2026-07-29
Bank Transfer,Others,1840.64,2026-08-04
Cafe Coffee Day,Food,2151.49,2026-06-21
Spotify Premium,Entertainment,870.59,2026-08-05
Mobile Recharge Airtel,Bills,4434.25,2026-05-28
Petrol Pump,Transport,483.64,2026-06-05
Myntra Order,Shopping,2836.41,2026-03-07
McDonalds,Food,4473.35,2026-07-05
Doctor Consultation,Healthcare,4629.61,2026-02-19
PVR Cinemas,Entertainment,2732.42,2026-06-19
Dominos Pizza,Food,3525.7,2026-04-02
Ola Cab,Transport,4934.41,2026-05-03
Monthly Rent Payment,Rent,1154.73,2026-07-14
Bank Transfer,Others,817.54,2026-08-02
Uber Ride,Transport,1670.25,2026-07-03
McDonalds,Food,605.0,2026-05-06
Medical Checkup,Healthcare,1064.58,2026-04-10
Water Bill Payment,Bills,574.18,2026-05-14
Uber Ride,Transport,3014.08,2026-03-24
Myntra Order,Shopping,2100.82,2026-07-18
Myntra Order,Shopping,253.54,2026-02-08
Gift Purchase,Others,4317.04,2026-07-09
Petrol Pump,Transport,2761.91,2026-06-28
Apollo Pharmacy,Healthcare,3165.73,2026-04-14
Zara Store,Shopping,202.99,2026-05-15
ATM Withdrawal,Others,1464.64,2026-02-21
Water Bill Payment,Bills,2063.31,2026-03-12
Movie Ticket BookMyShow,Entertainment,4270.89,2026-03-28
Hospital Bill,Healthcare,69.54,2026-02-15
Miscellaneous Payment,Others,4582.83,2026-06-12
ATM Withdrawal,Others,3730.7,2026-04-09
Ola Cab,Transport,3449.47,2026-02-24
Grocery Store BigBasket,Food,4358.02,2026-04-23
Ola Cab,Transport,2758.05,2026-03-02
Metro Card Recharge,Transport,3451.14,2026-03-22
Monthly Rent Payment,Rent,291.41,2026-07-27
Water Bill Payment,Bills,1085.77,2026-07-23
Mobile Recharge Airtel,Bills,2408.51,2026-02-23
Movie Ticket BookMyShow,Entertainment,4437.69,2026-04-27
Nykaa Order,Shopping,1747.15,2026-08-02
PVR Cinemas,Entertainment,1504.42,2026-07-29
Apollo Pharmacy,Healthcare,2959.66,2026-04-27
Rapido Bike,Transport,2668.23,2026-06-24
Medical Checkup,Healthcare,330.75,2026-06-09
Uber Ride,Transport,3713.98,2026-04-21
Amazon Purchase,Shopping,4757.03,2026-04-22
Flat Rent Transfer,Rent,2163.68,2026-04-18
Amazon Prime Video,Entertainment,3753.81,2026-05-21
Spotify Premium,Entertainment,1008.62,2026-03-19
Mobile Recharge Airtel,Bills,4333.09,2026-06-09
Electricity Bill,Bills,415.22,2026-03-02
Amazon Purchase,Shopping,1216.62,2026-06-19
Hospital Bill,Healthcare,4247.33,2026-04-24
Doctor Consultation,Healthcare,4944.01,2026-02-18
Zomato Delivery,Food,3191.02,2026-04-12
Electricity Bill,Bills,2992.73,2026-04-03
Gift Purchase,Others,3776.95,2026-07-29
Mobile Recharge Airtel,Bills,4238.19,2026-05-17
Zomato Delivery,Food,3371.55,2026-06-05
Medical Checkup,Healthcare,4278.16,2026-05-23
Netflix Subscription,Entertainment,4681.03,2026-07-08
Nykaa Order,Shopping,2351.25,2026-07-28
Bank Transfer,Others,1564.68,2026-06-08
Internet Bill Jio,Bills,1161.1,2026-06-07
Gas Bill Payment,Bills,4874.19,2026-05-14
House Rent,Rent,2125.93,2026-02-08
Cafe Coffee Day,Food,1970.91,2026-04-30
H&M Purchase,Shopping,817.98,2026-03-12
Starbucks Coffee,Food,4815.16,2026-04-11
Water Bill Payment,Bills,2358.18,2026-04-03
Dominos Pizza,Food,2277.48,2026-02-06
Monthly Rent Payment,Rent,1926.69,2026-05-01
H&M Purchase,Shopping,551.95,2026-05-12
Hospital Bill,Healthcare,1612.48,2026-06-18
Mobile Recharge Airtel,Bills,2523.41,2026-07-22
Spotify Premium,Entertainment,1484.55,2026-03-07
House Rent,Rent,228.92,2026-03-24
Zomato Delivery,Food,817.56,2026-02-23
Local Restaurant,Food,1692.01,2026-06-15
Movie Ticket BookMyShow,Entertainment,4732.25,2026-06-15
Movie Ticket BookMyShow,Entertainment,3009.6,2026-06-22
Miscellaneous Payment,Others,1310.34,2026-06-26
Medical Checkup,Healthcare,2813.76,2026-03-23
Apollo Pharmacy,Healthcare,568.58,2026-05-02
Cafe Coffee Day,Food,2080.87,2026-06-19
Medical Checkup,Healthcare,966.82,2026-02-18
Amazon Purchase,Shopping,3960.29,2026-03-09
Pharmacy Medicine,Healthcare,1681.54,2026-02-18
Medical Checkup,Healthcare,1586.84,2026-06-04
Grocery Store BigBasket,Food,2142.03,2026-05-27
Rapido Bike,Transport,416.05,2026-03-17
Medical Checkup,Healthcare,4863.64,2026-06-28
Uber Ride,Transport,4972.28,2026-06-11
Pharmacy Medicine,Healthcare,108.66,2026-07-13
Internet Bill Jio,Bills,3549.49,2026-05-15
Uber Ride,Transport,2391.75,2026-03-18
Starbucks Coffee,Food,3841.89,2026-07-29
Nykaa Order,Shopping,1379.45,2026-03-03
Zara Store,Shopping,1246.75,2026-02-07
Gift Purchase,Others,3339.39,2026-02-07
Nykaa Order,Shopping,1440.78,2026-05-05
Flat Rent Transfer,Rent,2633.56,2026-02-19
Water Bill Payment,Bills,3210.55,2026-03-16
McDonalds,Food,859.49,2026-07-25
Nykaa Order,Shopping,4290.88,2026-05-04
Local Restaurant,Food,874.07,2026-08-01
Amazon Purchase,Shopping,2098.59,2026-04-08
Flat Rent Transfer,Rent,4169.51,2026-06-12
Apollo Pharmacy,Healthcare,3850.79,2026-07-18
Flipkart Shopping,Shopping,4449.86,2026-08-04
Apollo Pharmacy,Healthcare,397.41,2026-06-04
Zara Store,Shopping,2873.6,2026-05-18
Petrol Pump,Transport,1238.08,2026-03-26
Swiggy Order,Food,1116.53,2026-04-04
Cafe Coffee Day,Food,269.43,2026-07-11
McDonalds,Food,1158.32,2026-06-13
Movie Ticket BookMyShow,Entertainment,3200.95,2026-05-20
Metro Card Recharge,Transport,3799.89,2026-03-01
Pharmacy Medicine,Healthcare,471.9,2026-02-18
Petrol Pump,Transport,1607.96,2026-05-10
Netflix Subscription,Entertainment,4534.72,2026-03-24
Amazon Purchase,Shopping,2054.05,2026-04-22
Medical Checkup,Healthcare,2606.22,2026-04-27
Nykaa Order,Shopping,1106.73,2026-08-01
Zomato Delivery,Food,4720.06,2026-04-16
Apollo Pharmacy,Healthcare,2848.08,2026-03-13
Doctor Consultation,Healthcare,4179.81,2026-07-01
Rapido Bike,Transport,2386.43,2026-02-07
Monthly Rent Payment,Rent,2547.28,2026-03-02
Doctor Consultation,Healthcare,1337.76,2026-06-14
Zara Store,Shopping,3067.83,2026-07-18
Gas Bill Payment,Bills,4641.81,2026-05-05
Swiggy Order,Food,4777.95,2026-07-04
Zara Store,Shopping,3877.18,2026-06-07
House Rent,Rent,4721.01,2026-05-25
Rapido Bike,Transport,3015.95,2026-04-01
Ola Cab,Transport,3487.68,2026-06-10
Laptop Purchase Amazon,Others,40777.25,2026-02-20
Amazon Prime Video,Entertainment,4779.35,2026-06-14
Netflix Subscription,Entertainment,3859.24,2026-07-12
Swiggy Order,Food,2131.74,2026-02-22
House Rent,Rent,1295.03,2026-03-24
Doctor Consultation,Healthcare,3717.76,2026-03-21
Amazon Prime Video,Entertainment,1339.44,2026-02-16
Medical Checkup,Healthcare,3216.79,2026-05-10
Internet Bill Jio,Bills,4446.71,2026-05-07
Swiggy Order,Food,4016.28,2026-02-07
Starbucks Coffee,Food,1786.9,2026-05-20
Myntra Order,Shopping,1696.39,2026-07-05
Monthly Rent Payment,Rent,734.02,2026-05-01
Dominos Pizza,Food,3032.99,2026-03-22
Internet Bill Jio,Bills,2849.52,2026-03-21
McDonalds,Food,996.93,2026-07-05
Electricity Bill,Bills,4527.95,2026-04-29
ATM Withdrawal,Others,3841.77,2026-05-09
Grocery Store BigBasket,Food,2747.61,2026-07-12
Flat Rent Transfer,Rent,1347.66,2026-02-28
Movie Ticket BookMyShow,Entertainment,3659.56,2026-08-01
Cafe Coffee Day,Food,1688.9,2026-05-25
Electricity Bill,Bills,367.8,2026-05-29
Grocery Store BigBasket,Food,3770.77,2026-07-13
Hospital Bill,Healthcare,3603.48,2026-04-14
Uber Ride,Transport,432.75,2026-03-06
H&M Purchase,Shopping,2971.34,2026-03-19
Metro Card Recharge,Transport,2322.21,2026-04-22
H&M Purchase,Shopping,4635.41,2026-05-17
PVR Cinemas,Entertainment,4247.64,2026-07-27
Flipkart Shopping,Shopping,2202.28,2026-06-14
H&M Purchase,Shopping,2885.37,2026-07-16
Amazon Prime Video,Entertainment,3189.87,2026-03-16
Petrol Pump,Transport,3606.96,2026-06-29
Uber Ride,Transport,100.15,2026-07-11
Gift Purchase,Others,4763.64,2026-05-27
PVR Cinemas,Entertainment,3904.87,2026-05-10
Local Restaurant,Food,3651.93,2026-04-09
Mobile Recharge Airtel,Bills,4544.89,2026-08-03
Gas Bill Payment,Bills,3217.09,2026-05-05
McDonalds,Food,3233.61,2026-05-05
ATM Withdrawal,Others,2637.45,2026-02-19
Ola Cab,Transport,3340.59,2026-05-19
Electricity Bill,Bills,4135.06,2026-08-05
Movie Ticket BookMyShow,Entertainment,97.59,2026-07-01
PVR Cinemas,Entertainment,4925.65,2026-04-27
Rapido Bike,Transport,3095.61,2026-06-11
Internet Bill Jio,Bills,3653.43,2026-06-29
McDonalds,Food,888.06,2026-03-20
H&M Purchase,Shopping,2723.71,2026-03-11
Pharmacy Medicine,Healthcare,1298.49,2026-05-06
Ola Cab,Transport,3171.81,2026-03-09
Flat Rent Transfer,Rent,1329.63,2026-06-26
Water Bill Payment,Bills,3820.09,2026-05-06
Amazon Purchase,Shopping,3501.63,2026-07-05
Petrol Pump,Transport,259.81,2026-05-12
Zomato Delivery,Food,1584.09,2026-07-11
Monthly Rent Payment,Rent,4249.54,2026-02-27
Cafe Coffee Day,Food,426.88,2026-06-06
Dominos Pizza,Food,3463.82,2026-03-31
Petrol Pump,Transport,4264.98,2026-02-13
Rapido Bike,Transport,1843.87,2026-05-13
Starbucks Coffee,Food,548.24,2026-03-09
PVR Cinemas,Entertainment,3772.21,2026-06-13
Mobile Recharge Airtel,Bills,3951.6,2026-06-13
Internet Bill Jio,Bills,230.87,2026-07-05
Amazon Purchase,Shopping,2651.63,2026-04-27
Netflix Subscription,Entertainment,3109.0,2026-05-17
Mobile Recharge Airtel,Bills,1524.22,2026-06-12
Spotify Premium,Entertainment,1435.52,2026-05-13
Local Restaurant,Food,2010.35,2026-04-23
Netflix Subscription,Entertainment,4304.81,2026-02-24
Cafe Coffee Day,Food,99.02,2026-08-03
ATM Withdrawal,Others,4406.92,2026-05-19
Local Restaurant,Food,525.9,2026-02-21
Metro Card Recharge,Transport,4357.87,2026-07-21
H&M Purchase,Shopping,1804.76,2026-04-15
Miscellaneous Payment,Others,3456.93,2026-07-28
Petrol Pump,Transport,1545.93,2026-03-01
Internet Bill Jio,Bills,228.19,2026-04-03
Ola Cab,Transport,1384.47,2026-04-06
Starbucks Coffee,Food,469.71,2026-03-13
Amazon Purchase,Shopping,1337.69,2026-07-08
Swiggy Order,Food,1880.85,2026-06-25
Swiggy Order,Food,3962.84,2026-05-27
McDonalds,Food,3459.92,2026-03-27
Monthly Rent Payment,Rent,1697.2,2026-02-09
Gas Bill Payment,Bills,2406.03,2026-03-28
Bank Transfer,Others,3750.18,2026-04-25
Zara Store,Shopping,1504.24,2026-04-03
Flat Rent Transfer,Rent,1591.57,2026-07-25
Netflix Subscription,Entertainment,1989.92,2026-04-27
Hospital Bill,Healthcare,3221.87,2026-07-26
Monthly Rent Payment,Rent,2156.51,2026-07-31
Flat Rent Transfer,Rent,4972.5,2026-08-02
Gift Purchase,Others,3903.59,2026-05-05
H&M Purchase,Shopping,312.14,2026-03-23
ATM Withdrawal,Others,2552.92,2026-06-09
Spotify Premium,Entertainment,3833.89,2026-02-13
Amazon Prime Video,Entertainment,1870.03,2026-02-11
Gas Bill Payment,Bills,824.39,2026-05-13
Amazon Prime Video,Entertainment,3020.67,2026-02-21
Rapido Bike,Transport,669.84,2026-03-22
Movie Ticket BookMyShow,Entertainment,2762.97,2026-03-11
Gift Purchase,Others,689.38,2026-04-02
Ola Cab,Transport,2017.82,2026-05-30
Apollo Pharmacy,Healthcare,3925.39,2026-03-04
Miscellaneous Payment,Others,2001.96,2026-07-05
Spotify Premium,Entertainment,481.69,2026-04-02
Amazon Prime Video,Entertainment,4694.82,2026-02-13
Apollo Pharmacy,Healthcare,931.1,2026-02-27
Grocery Store BigBasket,Food,360.71,2026-05-09
Medical Checkup,Healthcare,2298.24,2026-05-17
Amazon Purchase,Shopping,2719.26,2026-03-09
Rapido Bike,Transport,812.12,2026-05-03
McDonalds,Food,679.76,2026-05-10
Swiggy Order,Food,2366.97,2026-05-28
Uber Ride,Transport,4251.52,2026-07-07
Hospital Bill,Healthcare,4243.02,2026-02-16
Rapido Bike,Transport,425.71,2026-02-25
Zara Store,Shopping,4150.76,2026-07-24
Mobile Recharge Airtel,Bills,3332.42,2026-06-04
Mobile Recharge Airtel,Bills,4095.24,2026-07-16
Monthly Rent Payment,Rent,3213.48,2026-04-14
Spotify Premium,Entertainment,1409.07,2026-03-02
House Rent,Rent,2412.9,2026-06-30
Amazon Prime Video,Entertainment,2664.77,2026-02-19
Zomato Delivery,Food,1342.03,2026-05-01
Nykaa Order,Shopping,4538.37,2026-05-22
Bank Transfer,Others,3831.18,2026-05-08
Spotify Premium,Entertainment,651.4,2026-03-26
Swiggy Order,Food,1514.09,2026-06-02
Spotify Premium,Entertainment,3521.61,2026-04-05
McDonalds,Food,3323.29,2026-06-29
Gift Purchase,Others,1187.41,2026-06-28
PVR Cinemas,Entertainment,2760.51,2026-03-15
Uber Ride,Transport,3595.48,2026-06-02
PVR Cinemas,Entertainment,4692.18,2026-06-01
Bank Transfer,Others,4010.25,2026-03-14
Miscellaneous Payment,Others,4339.0,2026-02-09
Nykaa Order,Shopping,460.32,2026-06-23
Petrol Pump,Transport,71.17,2026-02-18
Local Restaurant,Food,3623.47,2026-04-22
Internet Bill Jio,Bills,2655.23,2026-07-10
Mobile Recharge Airtel,Bills,3877.72,2026-08-03
Rapido Bike,Transport,3158.14,2026-05-01
Electricity Bill,Bills,3482.37,2026-05-15
Grocery Store BigBasket,Food,4655.44,2026-07-04
Dominos Pizza,Food,57.3,2026-06-29
Metro Card Recharge,Transport,959.82,2026-07-28
Pharmacy Medicine,Healthcare,1185.48,2026-07-16
Mobile Recharge Airtel,Bills,2169.96,2026-06-25
Electricity Bill,Bills,426.16,2026-04-30
Metro Card Recharge,Transport,337.43,2026-02-21
Flipkart Shopping,Shopping,4758.82,2026-06-03
Pharmacy Medicine,Healthcare,1079.89,2026-04-12
Flipkart Shopping,Shopping,3275.78,2026-05-31
Zomato Delivery,Food,1479.03,2026-05-14
Gift Purchase,Others,1670.44,2026-02-15
Petrol Pump,Transport,4243.26,2026-07-10
Flat Rent Transfer,Rent,3526.81,2026-04-29
Myntra Order,Shopping,2285.74,2026-05-11
Rapido Bike,Transport,4940.25,2026-02-15
Ola Cab,Transport,4560.53,2026-02-13
Ola Cab,Transport,1176.85,2026-02-24
Myntra Order,Shopping,4658.07,2026-03-05
Cafe Coffee Day,Food,1956.29,2026-04-03
Pharmacy Medicine,Healthcare,3377.01,2026-03-25
Petrol Pump,Transport,1940.17,2026-05-29
House Rent,Rent,3016.47,2026-05-13
Zara Store,Shopping,188.26,2026-05-17
Local Restaurant,Food,1436.37,2026-05-26
Myntra Order,Shopping,2572.09,2026-02-07
Petrol Pump,Transport,3505.38,2026-05-31
Flipkart Shopping,Shopping,1509.65,2026-05-03
Amazon Purchase,Shopping,4125.32,2026-05-20
Zomato Delivery,Food,935.88,2026-02-17
Doctor Consultation,Healthcare,1401.61,2026-02-16
Amazon Prime Video,Entertainment,4554.2,2026-03-20
Apollo Pharmacy,Healthcare,3958.99,2026-02-26
Local Restaurant,Food,1020.76,2026-05-03
Pharmacy Medicine,Healthcare,383.9,2026-03-19
PVR Cinemas,Entertainment,2913.03,2026-07-16
Water Bill Payment,Bills,4262.48,2026-04-29
Miscellaneous Payment,Others,3823.62,2026-03-27
Gas Bill Payment,Bills,3056.37,2026-02-19
Medical Checkup,Healthcare,1871.3,2026-03-15
Metro Card Recharge,Transport,646.17,2026-08-03
Grocery Store BigBasket,Food,4888.19,2026-02-06
Myntra Order,Shopping,3409.61,2026-04-30
Medical Checkup,Healthcare,2493.06,2026-06-25
Cafe Coffee Day,Food,1777.65,2026-04-08
Miscellaneous Payment,Others,1906.16,2026-06-26
House Rent,Rent,2807.96,2026-02-17
Cafe Coffee Day,Food,2045.3,2026-08-04
Starbucks Coffee,Food,467.77,2026-04-12
Flipkart Shopping,Shopping,525.63,2026-02-13
Movie Ticket BookMyShow,Entertainment,4580.71,2026-03-17
Spotify Premium,Entertainment,4619.23,2026-06-05
Flat Rent Transfer,Rent,4615.55,2026-05-09
Dominos Pizza,Food,3183.88,2026-03-30
Amazon Prime Video,Entertainment,3781.67,2026-03-22
McDonalds,Food,610.33,2026-03-20
Starbucks Coffee,Food,1223.76,2026-03-11
Local Restaurant,Food,1960.8,2026-02-22
Metro Card Recharge,Transport,2485.12,2026-05-17
Local Restaurant,Food,4430.12,2026-02-17
Amazon Purchase,Shopping,1258.76,2026-03-10
Metro Card Recharge,Transport,2961.85,2026-05-05
Bank Transfer,Others,4323.46,2026-03-01
Gas Bill Payment,Bills,1414.44,2026-04-21
Nykaa Order,Shopping,589.35,2026-03-06
Rapido Bike,Transport,2233.25,2026-04-14
ATM Withdrawal,Others,3324.25,2026-02-18
Uber Ride,Transport,746.18,2026-04-28
Doctor Consultation,Healthcare,4146.03,2026-04-10
Flipkart Shopping,Shopping,1022.71,2026-06-15
PVR Cinemas,Entertainment,431.91,2026-07-12
H&M Purchase,Shopping,186.22,2026-02-23
McDonalds,Food,1858.64,2026-04-10
Hospital Bill,Healthcare,4142.57,2026-07-25
Gas Bill Payment,Bills,3754.57,2026-05-01
Zara Store,Shopping,4739.46,2026-03-08
Flipkart Shopping,Shopping,4514.48,2026-05-19
Movie Ticket BookMyShow,Entertainment,4611.56,2026-05-07
Starbucks Coffee,Food,2564.76,2026-04-18
Mobile Recharge Airtel,Bills,4655.17,2026-02-18
Ola Cab,Transport,4580.51,2026-04-12
Cafe Coffee Day,Food,3086.57,2026-03-28
Bank Transfer,Others,125.56,2026-05-26
Medical Checkup,Healthcare,1917.07,2026-05-11
Swiggy Order,Food,4606.98,2026-03-18
Flat Rent Transfer,Rent,2095.06,2026-02-24
